City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kargopol,61.51,38.95,30.34,95,43,8.97,RU,1605020769
1,new norfolk,-42.78,147.06,64.99,61,57,2.68,AU,1605020770
2,airai,-8.93,125.41,63.48,100,100,1.43,TL,1605020770
3,velyka bilozerka,47.28,34.71,45.86,54,0,7.78,UA,1605020770
4,ushuaia,-54.8,-68.3,50.0,53,40,9.17,AR,1605020734
5,aykhal,66.0,111.5,23.0,92,90,6.71,RU,1605020771
6,rikitea,-23.12,-134.97,73.69,80,1,17.2,PF,1605020771
7,saskylakh,71.92,114.08,6.67,94,100,0.51,RU,1605020771
8,vaini,-21.2,-175.2,75.2,88,75,5.82,TO,1605020772
9,carnarvon,-24.87,113.63,66.2,68,0,21.92,AU,1605020772
10,hun,29.13,15.95,70.75,44,58,9.26,LY,1605020772
11,saint george,37.1,-113.58,30.2,86,1,1.74,US,1605020587
12,benbrook,32.67,-97.46,69.01,88,90,6.93,US,1605020773
13,itatiaia,-22.5,-44.56,74.64,79,100,1.07,BR,1605020773
14,atuona,-9.8,-139.03,77.34,77,4,15.82,PF,1605020773
15,hermanus,-34.42,19.23,68.0,49,0,8.99,ZA,1605020773
16,aranda de duero,41.67,-3.69,57.76,54,0,3.36,ES,1605020773
17,cape town,-33.93,18.42,69.01,48,0,25.28,ZA,1605020558
18,mahebourg,-20.41,57.7,75.2,73,40,10.29,MU,1605020774
19,chokurdakh,70.63,147.92,-10.32,92,95,2.98,RU,1605020774
20,port alfred,-33.59,26.89,63.27,71,100,9.64,ZA,1605020774
21,vangaindrano,-23.35,47.6,75.36,76,2,10.27,MG,1605020774
22,lengshuitan,26.41,111.6,59.09,50,0,3.0,CN,1605020775
23,bousso,10.48,16.71,95.92,20,20,5.39,TD,1605020775
24,hauterive,46.09,3.45,59.0,72,0,2.24,FR,1605020775
25,rocha,-34.48,-54.33,71.94,53,33,9.37,UY,1605020775
26,bredasdorp,-34.53,20.04,66.2,45,22,11.41,ZA,1605020776
27,calama,-22.47,-68.93,71.6,10,0,3.36,CL,1605020776
28,andros town,24.7,-77.77,82.4,83,40,18.34,BS,1605020776
29,celestun,20.87,-90.4,79.25,79,40,13.62,MX,1605020776
30,yellowknife,62.46,-114.35,-4.0,70,20,12.75,CA,1605020776
31,mbala,-8.84,31.37,76.55,42,81,3.6,ZM,1605020529
32,lebu,-37.62,-73.65,58.14,70,17,17.9,CL,1605020776
33,port elizabeth,-33.92,25.57,64.4,72,75,9.17,ZA,1605020777
34,palanit,12.32,124.34,79.74,84,100,12.73,PH,1605020777
35,kahului,20.89,-156.47,73.99,64,1,3.36,US,1605020507
36,chumikan,54.72,135.31,11.61,90,30,26.93,RU,1605020777
37,olafsvik,64.89,-23.71,42.3,66,72,16.49,IS,1605020777
38,tessalit,20.2,1.01,87.87,13,0,11.81,ML,1605020778
39,darnah,32.77,22.64,67.53,78,91,12.97,LY,1605020778
40,emporia,38.4,-96.18,39.2,93,90,23.04,US,1605020778
41,jamestown,42.1,-79.24,64.0,72,1,8.05,US,1605020778
42,kabompo,-13.59,24.2,93.96,19,100,3.91,ZM,1605020778
